geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
04090,me,-70.633,43.32651,6594,0,2,2,NA
04091,me,-70.75143,43.83211,636,1,3,2,200
04092,me,-70.3539,43.69533,6278,0,1,1,NA
04093,me,-70.53764,43.64284,3761,2,5,3,150
04095,me,-70.91512,43.63554,22,1,4,3,300
04096,me,-70.15931,43.78834,3521,0,0,0,NA
04097,me,-70.23634,43.85121,1734,0,1,1,NA
04101,me,-70.25727,43.66266,3704,0,0,0,NA
04102,me,-70.30617,43.6588,7779,0,1,1,NA
04103,me,-70.2909,43.69383,16692,0,1,1,NA
04105,me,-70.27156,43.74251,5379,0,1,1,NA
04106,me,-70.28592,43.63153,8814,0,0,0,NA
04107,me,-70.23234,43.58645,4421,0,0,0,NA
04108,me,-70.19088,43.65813,2178,0,0,0,NA
04109,me,-70.19933,43.65864,717,0,0,0,NA
04110,me,-70.18785,43.75097,731,0,0,0,NA
04210,me,-70.24925,44.08506,8743,1,4,3,300
04216,me,-70.82147,44.70672,88,0,1,1,NA
04217,me,-70.83319,44.36772,3832,0,2,2,NA
04219,me,-70.59287,44.40927,1887,0,1,1,NA
04220,me,-70.35341,44.33662,2333,0,2,2,NA
04221,me,-70.29982,44.46023,1026,0,2,2,NA
04222,me,-70.12965,43.96445,2018,0,2,2,NA
04224,me,-70.40114,44.58014,1875,0,1,1,NA
04227,me,-70.29766,44.55717,46,0,1,1,NA
04228,me,-70.11506,44.43249,11,1,2,1,100
04231,me,-70.8875,44.26412,529,1,2,1,100
04234,me,-70.1919,44.62383,74,0,2,2,NA
04236,me,-70.14461,44.19037,2202,1,3,2,200
04237,me,-70.72595,44.49674,372,0,1,1,NA
04238,me,-70.38175,44.2107,768,1,2,1,100
04240,me,-70.16808,44.09146,11317,1,4,3,300
04250,me,-70.11656,44.02598,1483,1,3,2,200
04252,me,-70.05959,44.02708,1945,0,2,2,NA
04254,me,-70.14275,44.43248,1614,1,2,1,100
04255,me,-70.67051,44.33624,1318,0,1,1,NA
04256,me,-70.40897,44.10236,1516,1,3,2,200
04257,me,-70.51359,44.57345,1,1,2,1,100
04258,me,-70.33787,44.14835,1494,1,3,2,200
04259,me,-70.00852,44.2284,2245,1,3,2,200
04260,me,-70.29587,43.96407,2809,1,4,3,300
04261,me,-70.92005,44.56456,1462,0,1,1,NA
04265,me,-70.04637,44.28446,627,1,3,2,200
04267,me,-70.79025,44.21037,79,0,1,1,NA
04268,me,-70.60648,44.2292,3111,1,2,1,100
04270,me,-70.51559,44.11239,2419,1,3,2,200
04271,me,-70.49819,44.26361,49,0,2,2,NA
04274,me,-70.38948,44.04615,3106,1,3,2,200
04276,me,-70.61543,44.53471,3279,0,2,2,NA
04280,me,-70.06151,44.12157,822,1,3,2,200
04281,me,-70.48829,44.2444,2704,1,2,1,100
04282,me,-70.24293,44.26708,3010,1,2,1,100
04284,me,-70.06612,44.35129,1060,1,3,2,200
04285,me,-70.4461,44.70318,874,0,1,1,NA
04286,me,-70.86508,44.40144,29,1,2,1,100
04287,me,-69.96821,44.05734,1672,1,2,1,100
04289,me,-70.53378,44.3211,1114,0,2,2,NA
04290,me,-70.45065,44.47355,1426,0,1,1,NA
04292,me,-70.44687,44.37404,948,0,1,1,NA
04294,me,-70.26957,44.62899,2659,0,1,1,NA
04330,me,-69.73741,44.36396,12517,1,3,2,200
04342,me,-69.73938,44.07944,1088,0,2,2,NA
04343,me,-69.89169,44.32871,29,1,3,2,200
04344,me,-69.82132,44.25884,2,1,3,2,200
04345,me,-69.78481,44.19822,2478,1,3,2,200
04346,me,-69.75065,44.2347,784,1,3,2,200
04347,me,-69.81406,44.29048,1173,1,3,2,200
04348,me,-69.4992,44.21522,2311,1,2,1,100
04349,me,-70.06854,44.43724,1538,1,2,1,100
04350,me,-69.93985,44.16256,2222,1,3,2,200
04351,me,-69.86101,44.33137,1348,1,3,2,200
04352,me,-69.96094,44.46558,5,1,2,1,100
04353,me,-69.61259,44.20521,1585,1,3,2,200
04354,me,-69.42711,44.39603,1309,1,3,2,200
04355,me,-69.94907,44.38209,1730,1,3,2,200
04357,me,-69.82884,44.12363,1845,1,3,2,200
04358,me,-69.53289,44.41815,3186,1,3,2,200
04359,me,-69.76062,44.17745,199,1,3,2,200
04363,me,-69.57806,44.311,2,1,3,2,200
04364,me,-69.96244,44.31155,3479,1,3,2,200
04401,me,-68.84473,44.84923,13404,1,2,1,100
04406,me,-69.56992,45.23453,309,0,0,0,NA
04408,me,-68.2307,44.99135,799,0,1,1,NA
04411,me,-68.57613,44.88125,863,1,2,1,100
04412,me,-68.73516,44.78356,3828,1,2,1,100
04413,me,-67.74363,45.55074,373,0,1,1,NA
04414,me,-69.10659,45.44461,838,0,1,1,NA
04416,me,-68.75342,44.62558,3423,0,2,2,NA
04417,me,-68.37898,45.23488,113,0,1,1,NA
04418,me,-68.47216,45.08637,491,0,1,1,NA
04421,me,-68.81164,44.40875,777,1,2,1,100
04424,me,-67.86815,45.67061,1066,0,1,1,NA
04426,me,-69.18344,45.21953,3192,0,1,1,NA
04428,me,-68.55584,44.80644,1751,1,2,1,100
04429,me,-68.6165,44.72075,3937,1,2,1,100
04430,me,-68.58517,45.63921,8,0,1,1,NA
04431,me,-68.6706,44.5622,75,0,1,1,NA
04441,me,-69.47536,45.89603,3802,0,0,0,NA
04442,me,-69.6939,45.47957,362,0,0,0,NA
04443,me,-69.39897,45.22429,206,0,1,1,NA
04444,me,-68.94587,44.72593,3559,1,2,1,100
04448,me,-68.70995,45.31876,849,0,1,1,NA
04451,me,-68.2104,45.61089,628,0,1,1,NA
04454,me,-67.56427,45.55609,141,0,1,1,NA
04455,me,-68.27478,45.32349,54,0,1,1,NA
04456,me,-68.99767,44.88647,1264,1,2,1,100
04457,me,-68.47824,45.41628,3914,0,1,1,NA
04459,me,-68.34063,45.59417,145,0,1,1,NA
04460,me,-68.54589,45.69386,170,0,1,1,NA
04461,me,-68.56868,44.96417,1356,1,2,1,100
04462,me,-68.9809,45.93675,1179,0,1,1,NA
04463,me,-68.9061,45.27529,920,0,1,1,NA
04464,me,-69.39796,45.41866,176,0,0,0,NA
04468,me,-68.7275,45.02314,3422,1,2,1,100
04469,me,-68.6683,44.90107,1,1,3,2,200
04471,me,-67.8471,45.89107,317,0,1,1,NA
04472,me,-68.67725,44.57362,1840,0,1,1,NA
04473,me,-68.7172,44.8865,2158,1,3,2,200
04474,me,-68.77902,44.71499,2040,1,2,1,100
04476,me,-68.70874,44.47501,1250,0,2,2,NA
04478,me,-69.87682,45.8641,1842,0,0,0,NA
04479,me,-69.30704,45.12759,1,0,1,1,NA
04485,me,-69.62015,45.36095,13,0,0,0,NA
04487,me,-68.10191,45.39059,1529,0,1,1,NA
04489,me,-68.69019,44.91036,76,1,2,1,100
04490,me,-67.85559,45.43362,345,0,1,1,NA
04491,me,-67.46937,45.57016,223,0,1,1,NA
04492,me,-67.67799,45.34917,141,0,1,1,NA
04493,me,-68.53378,45.23784,7,0,1,1,NA
04497,me,-68.05134,45.7637,627,0,1,1,NA
04530,me,-69.8306,43.8916,5587,0,1,1,NA
04535,me,-69.63437,44.08777,649,0,1,1,NA
