geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
60428,il,11316,111.1,-87.69057,ZCTA5 60428,8959,41.5998,9,19,10,"list(c(-87.717117, -87.713863, -87.706586, -87.655883, -87.69321, -87.698184, -87.717117, 41.610768, 41.587272, 41.586212, 41.58634, 41.618695, 41.622255, 41.610768))"
60475,il,10010,111.1,-87.62777,ZCTA5 60475,5889,41.47273,9,19,10,"list(c(-87.654768, -87.669864, -87.5776, -87.654768, 41.47995, 41.457154, 41.469993, 41.47995))"
60180,il,1596,100,-88.52467,ZCTA5 60180,1234,42.2252,9,18,9,"list(c(-88.551265, -88.566442, -88.525914, -88.487034, -88.47191, -88.551265, 42.266647, 42.219933, 42.183263, 42.174558, 42.24053, 42.266647))"
60447,il,15544,109.1,-88.32421,ZCTA5 60447,6164,41.48821,11,23,12,"list(c(-88.404035, -88.4332, -88.404033, -88.302883, -88.297819, -88.25071, -88.207517, -88.252409, -88.25451, -88.2946, -88.31426, -88.404035, 41.525174, 41.48094, 41.445285, 41.443811, 41.41796, 41.4191, 41.469473, 41.469995, 41.52825, 41.56381, 41.57078, 41.525174))"
62094,il,902,100,-89.35262,ZCTA5 62094,1185,39.24472,19,38,19,"list(c(-89.288088, -89.30717, -89.401223, -89.434238, -89.357949, -89.325953, -89.288088, 39.20661, 39.279542, 39.290498, 39.261159, 39.225032, 39.188159, 39.20661))"
61914,il,1976,100,-88.76476,ZCTA5 61914,1583,39.63542,18,36,18,"list(c(-88.866812, -88.827957, -88.808991, -88.722486, -88.67611, -88.756848, -88.810944, -88.866812, 39.65294, 39.594691, 39.576503, 39.579385, 39.677421, 39.696362, 39.669889, 39.65294))"
61436,il,818,107.1,-90.21682,ZCTA5 61436,1046,40.86222,14,29,15,"list(c(-90.327605, -90.333138, -90.317762, -90.295482, -90.147722, -90.100122, -90.099108, -90.186266, -90.327605, 40.874406, 40.845143, 40.801307, 40.787118, 40.858457, 40.871896, 40.886969, 40.928339, 40.874406))"
60145,il,2607,100,-88.77656,ZCTA5 60145,1480,42.09367,9,18,9,"list(c(-88.837951, -88.822406, -88.783414, -88.696132, -88.783674, -88.769099, -88.837951, 42.153377, 42.045163, 42.045314, 42.060363, 42.137855, 42.160644, 42.153377))"
60552,il,4286,110,-88.70301,ZCTA5 60552,2378,41.65989,10,21,11,"list(c(-88.737776, -88.757219, -88.679042, -88.651056, -88.679499, -88.706345, -88.737776, 41.699499, 41.645374, 41.601679, 41.652948, 41.718782, 41.731036, 41.699499))"
60429,il,15018,111.1,-87.68413,ZCTA5 60429,6282,41.57369,9,19,10,"list(c(-87.713614, -87.713469, -87.698777, -87.636312, -87.636384, -87.655883, -87.706586, -87.704426, -87.713614, 41.557132, 41.549753, 41.549832, 41.57383, 41.582342, 41.58634, 41.586212, 41.564442, 41.557132))"
