fips,namelsad,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
12051,Hendry County,35542,6398,2282,7069,5173,4150,1654,1856,2689,2181,2090
12053,Hernando County,116325,9497,5103,30775,27108,25004,12496,3956,1642,428,316
12055,Highlands County,112241,10142,6337,29260,25299,18013,9104,6731,4878,1641,836
12057,Hillsborough County,495329,248623,68290,111738,49606,12177,4301,508,84,0,2
12059,Holmes County,14258,162,472,3958,6181,3130,353,2,0,0,0
12061,Indian River County,79828,33733,11348,24043,6454,2106,942,566,387,120,129
12063,Jackson County,39398,916,1472,13284,15031,7772,846,77,0,0,0
12065,Jefferson County,11942,50,131,2725,3828,3346,1559,296,7,0,0
12067,Lafayette County,7110,6,12,486,1282,1236,1307,1730,861,177,13
12069,Lake County,191797,28657,14449,61785,46368,24801,9818,4208,1594,104,13
12071,Lee County,471174,193255,44023,111611,62766,30247,12168,7239,5393,2258,2214
12073,Leon County,108955,35208,25326,32881,10607,3252,1109,487,85,0,0
12075,Levy County,47418,1512,897,11478,12188,7873,5260,4410,2565,752,483
12077,Liberty County,5846,84,231,1737,2281,945,359,189,20,0,0
12079,Madison County,16224,29,43,1849,3250,3319,2728,2893,1737,335,41
12081,Manatee County,171062,93326,25775,32518,8169,5874,3235,1764,345,50,6
12083,Marion County,275596,20144,13461,83738,76247,50616,19746,7672,3176,564,232
12085,Martin County,79794,31122,7759,17615,6816,2392,1260,1439,2221,2516,6654
12087,Monroe County,78293,60074,3830,4444,2554,1351,857,1320,958,220,2685
12089,Nassau County,51610,2964,1417,16201,12099,7877,4886,3145,2293,619,109
12091,Okaloosa County,95435,36158,10701,23829,12457,8331,3444,485,30,0,0
12093,Okeechobee County,31639,3590,2752,9450,2321,958,667,1411,1577,1137,7776
12095,Orange County,429945,205297,40210,95494,59638,19704,4941,3290,1220,142,9
12097,Osceola County,174159,28620,16608,58434,44152,10596,5023,2019,1862,1617,5228
12099,Palm Beach County,451535,374312,16573,29052,11324,5520,4284,3791,2493,806,3380
12101,Pasco County,287640,49823,27218,101326,64737,21917,6974,5200,10406,38,1
12103,Pinellas County,313352,269254,21096,13881,7673,1422,21,5,0,0,0
12105,Polk County,394167,60312,26922,91820,94050,50383,17053,13155,9045,3341,28086
12107,Putnam County,98245,1215,2312,35099,31221,15088,7277,3863,1414,561,195
12109,St. Johns County,139114,12316,3944,25297,31517,24981,20480,13706,5208,1582,83
12111,St. Lucie County,162596,98730,21082,27618,6333,3140,4795,699,166,26,7
12113,Santa Rosa County,102085,11198,6261,33028,26853,15731,5952,2262,735,64,1
12115,Sarasota County,238135,134164,20936,41856,18772,11788,5133,2986,1107,395,998
12117,Seminole County,178549,83492,23306,52712,14985,2918,642,296,131,41,26
12119,Sumter County,90737,7350,6720,34617,30403,9586,1495,459,101,6,0
12121,Suwannee County,31425,92,278,2592,5018,4361,3882,5453,6266,2295,1188
12123,Taylor County,18682,41,46,461,2517,4011,4228,3334,2934,825,285
12125,Union County,6686,76,75,535,923,1169,1445,1629,773,59,2
12127,Volusia County,274035,73435,25041,70829,51800,25495,10319,7620,6960,1870,666
12129,Wakulla County,25513,265,185,5887,7478,5178,3389,2424,664,43,0
12131,Walton County,85894,11882,5315,21019,24844,14961,4873,1935,1059,6,0
12133,Washington County,43397,876,1590,13452,13345,8585,1564,3669,316,0,0
13001,Appling County,12338,48,94,1526,2779,2711,2651,1898,591,39,1
13003,Atkinson County,4423,10,4,226,735,736,1063,890,546,152,61
13005,Bacon County,6452,5,10,661,1653,1735,1242,831,261,46,8
13007,Baker County,2513,55,61,602,807,676,240,69,3,0,0
